"AÑO","CÓDIGO_MUNICIPIO","MUNICIPIO","CÓDIGO_DEPARTAMENTO","DEPARTAMENTO","CÓDIGO_ETC","ETC","POBLACIÓN_5_16","TASA_MATRICULACIÓN_5_16","COBERTURA_NETA","COBERTURA_NETA_TRANSICIÓN","COBERTURA_NETA_PRIMARIA","COBERTURA_NETA_SECUNDARIA","COBERTURA_NETA_MEDIA","COBERTURA_BRUTA","COBERTURA_BRUTA_TRANSICIÓN","COBERTURA_BRUTA_PRIMARIA","COBERTURA_BRUTA_SECUNDARIA","COBERTURA_BRUTA_MEDIA","TAMAÑO_PROMEDIO_DE_GRUPO","SEDES_CONECTADAS_A_INTERNET","DESERCIÓN","DESERCIÓN_TRANSICIÓN","DESERCIÓN_PRIMARIA","DESERCIÓN_SECUNDARIA","DESERCIÓN_MEDIA","APROBACIÓN","APROBACIÓN_TRANSICIÓN","APROBACIÓN_PRIMARIA","APROBACIÓN_SECUNDARIA","APROBACIÓN_MEDIA","REPROBACIÓN","REPROBACIÓN_TRANSICIÓN","REPROBACIÓN_PRIMARIA","REPROBACIÓN_SECUNDARIA","REPROBACIÓN_MEDIA","REPITENCIA","REPITENCIA_TRANSICIÓN","REPITENCIA_PRIMARIA","REPITENCIA_SECUNDARIA","REPITENCIA_MEDIA"
"2023","11001","Bogotá, D.C.","11","Bogotá, D.C.","3766","Bogotá, D.C. (ETC)","1141573","92,9%","92,4%","61,43%","86,97%","86,48%","64,42%","100,88%","75,17%","97,91%","108,19%","107,3%",,,"2,82%","3,24%","2,69%","3,17%","2,16%","89,4%","0,37%","91,87%","84,26%","91,35%","7,78%","0,37%","5,44%","12,57%","6,5%","7,55%","1,66%","7,11%","10,98%","3,2%"
"2023","27001","Quibdó","27","Chocó","4382","Quibdó","32697","100,59%","100,58%","74,37%","102%","79,05%","45,24%","113,34%","113,42%","124,82%","111,96%","87,26%",,,"1,82%","1,61%","1,81%","2,12%","1,08%","89,64%","0,11%","91,19%","84,2%","92,47%","8,54%","0,11%","7%","13,68%","6,45%","8,77%","2,24%","9,97%","10,93%","1,76%"
"2023","27006","Acandí","27","Chocó","3789","Chocó (ETC)","3630","90,28%","90,28%","68,2%","94,93%","64,16%","26,89%","101,02%","107,42%","121,76%","96,37%","56,56%",,,"3,99%","2,3%","3,31%","6,06%","1,91%","86,05%","0%","89,46%","76,2%","90,46%","9,96%","0%","7,23%","17,74%","7,63%","10,19%","1,32%","11,36%","11,95%","4,96%"
"2023","27025","Alto Baudo","27","Chocó","3789","Chocó (ETC)","8556","86,68%","86,68%","44,25%","89,99%","55,93%","15,43%","120,89%","85,01%","126,55%","120,51%","124,81%",,,"0,27%","0,34%","0,34%","0,13%","0,39%","95,19%","1,2%","94,38%","95,68%","95,28%","4,54%","1,2%","5,28%","4,19%","4,34%","6,95%","3,77%","9,53%","5,47%","2,31%"
"2023","27050","Atrato","27","Chocó","3789","Chocó (ETC)","1531","81,45%","81,45%","54,95%","79,64%","63,89%","29,24%","92,95%","102,7%","104,89%","94,33%","59,93%",,,"1,16%","1,75%","0,64%","1,86%","0,63%","96,44%","0%","97,42%","94%","98,74%","2,4%","0%","1,93%","4,14%","0,63%","9,44%","3,51%","7,41%","15,94%","1,89%"
"2023","27073","Bagadó","27","Chocó","3789","Chocó (ETC)","3374","111,53%","111,53%","80,63%","106,04%","85,45%","27,54%","139,36%","126,98%","132,65%","161,41%","119,49%",,,"0,36%","0,25%","0,2%","0,68%","0%","94,53%","0%","95,35%","91,69%","96,55%","5,11%","0%","4,45%","7,64%","3,45%","3,16%","0,25%","3,15%","4,06%","2,53%"
"2023","27075","Bahía Solano","27","Chocó","3789","Chocó (ETC)","2696","102,97%","102,97%","76,21%","105,21%","72,45%","40,08%","125%","141,26%","135,74%","119,52%","103,8%",,,"1,68%","2,41%","1,49%","1,6%","2,11%","87,76%","1,03%","86,62%","85,01%","93,37%","10,56%","1,03%","11,89%","13,39%","4,52%","12,98%","16,49%","14,13%","13,99%","1,81%"
"2023","27077","Bajo Baudó","27","Chocó","3789","Chocó (ETC)","9599","47,48%","47,48%","38,63%","49,71%","25,16%","9,6%","64,78%","65,01%","75,3%","65,03%","38,41%",,,"1,3%","0,41%","0,53%","2,58%","2,25%","85,06%","0%","84,43%","82,64%","82,25%","13,65%","0%","15,03%","14,77%","15,51%","18,5%","1,86%","22,55%","19,58%","6,97%"
"2023","27099","Bojaya","27","Chocó","3789","Chocó (ETC)","4108","106,04%","106,04%","61,14%","100,06%","74,24%","20,85%","138,29%","128,86%","136,16%","158,3%","106,64%",,,"2,6%","2,44%","2%","2,94%","4,36%","93,33%","0%","91,69%","94,07%","94,55%","4,07%","0%","6,3%","2,99%","1,09%","12,37%","1,77%","16,12%","12,21%","3,92%"
"2023","27135","El Cantón del San Pablo","27","Chocó","3789","Chocó (ETC)","1647","81,85%","81,85%","37,76%","80,7%","68,65%","34,51%","99,76%","71,33%","103,66%","105,19%","93,33%",,,"7,07%","1,96%","7,78%","6,05%","10,53%","83,04%","0%","80,97%","84,57%","77,63%","9,89%","0%","11,25%","9,38%","11,84%","8,75%","0,98%","11,25%","8,98%","1,32%"
